Date,Close,MA50,MA200,RSI,MACD,MACD_Signal,BB_High,BB_Low,BB_Mid,VWAP,Return,Volatility,ATR,Stoch_K,Stoch_D,OBV,Hammer,Bullish_Engulfing,Bearish_Engulfing,Doji,Morning_Star,Evening_Star,Shooting_Star,Piercing_Line,Dark_Cloud_Cover
2021-01-25,3079.377197265625,2717.0231884765626,2250.550203857422,69.99047551891559,110.92644334282113,104.97759522672686,3198.637753556976,2653.8877835523995,2926.2627685546877,2154.4692974326363,-0.003572345809078281,0.25297115279665583,71.26047661521453,85.9521685167188,88.23936347243192,165162192.0,0,0,0,0,0,0,0,0,0
2021-01-27,3051.074951171875,2728.423544921875,2257.668439941406,71.5558051456184,105.94423373991958,105.17092292936542,3204.386474826933,2679.586474391817,2941.986474609375,2156.7920528868003,-0.00919089941916873,0.2580484872648038,71.48066830199403,77.19037448296459,85.22962737416113,162375530.0,0,0,0,0,0,0,0,0,0
2021-01-28,2990.728271484375,2738.364833984375,2264.5964129638674,65.54165432558354,96.01947132679243,103.34063260885083,3196.283792779422,2715.0815880799532,2955.6826904296877,2159.1760891988542,-0.01977882571004086,0.2698800779479308,72.19928188780159,49.84474657466134,70.99576319144825,159291592.0,0,0,0,0,0,0,0,0,0
2021-01-29,2911.01416015625,2746.7921435546873,2271.2141583251955,49.66630310584813,80.79046088204996,98.83059826349066,3169.8807449026153,2765.2526535348843,2967.56669921875,2162.952352923072,-0.026653745874599566,0.2831711610730746,73.6582423142506,4.733154153937834,43.9227584038546,153845933.0,0,0,0,0,0,0,0,0,0
2021-02-01,2937.211181640625,2756.4792529296874,2277.5459149169924,46.9848119923718,70.02800186703644,93.07007898419982,3148.747959214245,2806.6565329732553,2977.70224609375,2165.7883160697306,0.008999276555552438,0.27534655375465295,74.4606310775279,32.211713916621555,28.92987154840692,157831779.0,0,0,0,0,0,0,0,0,0
2021-02-02,2997.184326171875,2767.174404296875,2284.119952392578,52.997372378307055,65.5820184205354,87.57246687146694,3143.702188271917,2827.5865080171457,2985.6443481445312,2167.9842670390353,0.020418397187822013,0.2524847307958488,76.11562691745179,53.88926644049666,30.278044837018694,160713616.0,0,0,0,0,0,0,0,0,0
2021-02-03,2994.003173828125,2777.36982421875,2291.0527362060548,54.166666666666664,61.09755748864063,82.2774849949017,3142.2101045482596,2839.644021428303,2990.9270629882812,2169.877032593503,-0.0010613802814767315,0.24662808530164101,77.63241936070209,52.73942516475437,46.28013517395754,158207750.0,0,0,0,0,0,0,0,0,0
2021-02-04,2983.1494140625,2786.1528662109376,2297.783935546875,43.50268975930521,56.0219954952986,77.02638709498109,3133.642653497932,2861.5669656426935,2997.6048095703127,2171.4040998873447,-0.003625166419495618,0.24093918832833933,72.00204212669603,48.816286746053315,51.814992783768126,156150489.0,0,0,0,0,0,0,0,0,0
2021-02-05,2954.61279296875,2794.40625,2303.8694439697265,42.340447640445625,49.13056267257707,71.44722221050029,3117.6280098646134,2889.8297049791367,3003.728857421875,2173.0918684321205,-0.009565937582351358,0.24285482603094835,72.86080494027523,38.5016016074184,46.685771172742044,153784354.0,0,0,0,0,0,0,0,0,0
2021-02-08,3007.147705078125,2804.09787109375,2310.493760986328,49.287351225635334,47.36221869002338,66.63022150640491,3114.220253296027,2902.511997680536,3008.3661254882813,2175.006688258617,0.017780641928578644,0.22926386935592305,72.96104839959983,57.490572845948904,48.269487066473545,156310946.0,0,0,0,0,0,0,0,0,0
2021-02-09,2972.343505859375,2812.7329541015624,2316.8605688476564,42.168340919333474,42.66062026242389,61.83630125760871,3114.0494790800376,2903.2893881074624,3008.66943359375,2176.9283158231037,-0.011573824311980618,0.22552768615489696,74.6017568151531,44.910444481615144,46.96753964499416,153652195.0,0,0,0,0,0,0,1,0,0
